"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","""Brims"" Barone, Midway Mobster","unf","Near Mint","English","","","2025-10-29 13:08:06.133000","163","False","False",""
"1","1","""Brims"" Barone, Midway Mobster","unf","Near Mint","English","","","2025-10-29 13:08:06.133000","256","False","False",""
"1","1","""Lifetime"" Pass Holder","unf","Near Mint","English","","","2025-10-29 13:08:06.133000","79","False","False",""
"2","2","_____ _____ _____ Trespasser","unf","Near Mint","English","","","2025-10-29 13:08:06.133000","61","False","False",""
"2","2","_____ _____ Rocketship","unf","Near Mint","English","","","2025-10-29 13:08:06.133000","191","False","False",""
"2","2","_____ Balls of Fire","unf","Near Mint","English","","","2025-10-29 13:08:06.133000","100","False","False",""
"2","2","_____ Bird Gets the Worm","unf","Near Mint","English","","","2025-10-29 13:08:06.133000","5","False","False",""
"4","4","+2 Mace","afr","Near Mint","English","","","2025-10-29 13:08:06.133000","1","False","False",""
"5","5","A Good Day to Pie","unf","Near Mint","English","","","2025-10-29 13:08:06.133000","12","False","False",""
"1","1","A Killer Among Us","mkm","Near Mint","English","","","2025-10-29 13:08:06.133000","167","False","False",""
"1","1","A Little Chat","snc","Near Mint","English","","","2025-10-29 13:08:06.133000","47","False","False",""
"2","2","A Real Handful","unf","Near Mint","English","","","2025-10-29 13:08:06.133000","87","False","False",""
"1","1","A Realm Reborn","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","344","False","False",""
"1","1","A Realm Reborn","fin","Near Mint","English","foil","","2025-10-31 15:06:11.523000","196","False","False",""
"2","2","A Realm Reborn","fin","Near Mint","English","","","2025-10-29 13:08:06.133000","196","False","False",""
"1","1","A Realm Reborn","fin","Near Mint","English","","","2025-10-30 18:14:34.043000","344","False","False",""
"1","1","Aang, A Lot to Learn","tle","Near Mint","English","","","2026-01-08 21:57:33.170000","146","False","False",""
"1","1","Aang, Airbending Master","tle","Near Mint","English","","","2025-12-19 17:16:14.850000","74","False","False",""
"1","1","Aang, at the Crossroads // Aang, Destined Savior","tla","Near Mint","English","","","2025-11-19 10:25:01.957000","203","False","False",""
"1","1","Aang, the Last Airbender","tla","Near Mint","English","foil","","2025-11-19 10:01:23.337000","4","False","False",""
"2","2","Aang, the Last Airbender","tla","Near Mint","English","","","2025-11-21 17:20:48.427000","4","False","False",""
"2","2","Aang's Iceberg","tla","Near Mint","English","","","2025-11-21 16:53:23.650000","5","False","False",""
"5","5","Aang's Journey","tla","Near Mint","English","","","2025-11-25 22:12:41.883000","1","False","False",""
"2","2","Aarakocra Sneak","clb","Near Mint","English","","","2025-10-29 13:08:06.133000","54","False","False",""
"2","2","Aardwolf's Advantage","unf","Near Mint","English","","","2025-10-29 13:08:06.133000","97","False","False",""
"3","3","Aatchik, Emerald Radian","dft","Near Mint","English","","","2025-10-29 13:08:06.133000","187","False","False",""
"2","2","Aatchik, Emerald Radian","dft","Near Mint","English","","","2025-10-29 13:08:06.133000","360","False","False",""
"1","1","Abaddon the Despoiler","40k","Near Mint","English","foil","","2025-10-29 13:08:06.133000","171","False","False",""
"1","1","Abandon Attachments","tla","Near Mint","English","foil","","2025-11-21 17:49:08.480000","205","False","False",""
"4","4","Abandon Attachments","tla","Near Mint","English","","","2025-11-21 17:49:13.673000","205","False","False",""
"1","1","Abandon Reason","j25","Near Mint","English","","","2025-10-29 13:08:06.133000","513","False","False",""
"2","2","Abandon the Post","mid","Near Mint","English","","","2025-10-29 13:08:06.133000","127","False","False",""
"2","2","Abandoned Air Temple","tla","Near Mint","English","","","2025-11-21 16:40:25.520000","263","False","False",""
"7","7","Abandoned Campground","dsk","Near Mint","English","","","2025-10-29 13:08:06.133000","255","False","False",""
"1","1","Abby, Merciless Soldier","sld","Near Mint","English","","","2026-01-03 17:48:17.837000","2202","False","False",""
"1","1","Abdel Adrian, Gorion's Ward","clb","Near Mint","English","","","2025-10-29 13:08:06.133000","2","False","False",""
"1","1","Aberrant","40k","Near Mint","English","","","2025-11-06 20:53:28.937000","86","False","False",""
"2","2","Aberrant Mind Sorcerer","afr","Near Mint","English","","","2025-10-29 13:08:06.133000","44","False","False",""
"2","2","Aberrant Researcher // Perfected Form","inr","Near Mint","English","","","2025-10-29 13:08:06.133000","52","False","False",""
"1","1","Aberrant Return","ecc","Near Mint","English","","","2026-02-02 20:20:52.733000","7","False","False",""
"2","2","Abhorrent Oculus","dsk","Near Mint","English","","","2025-10-29 13:08:06.133000","42","False","False",""
"1","1","Abigale, Eloquent First-Year","ecl","Near Mint","English","","","2026-01-31 18:26:11.390000","204","False","False",""
